feature,importance
obv_ema,0.05056130292379844
low_52w,0.04876771332645018
obv,0.04571875949861055
atr_pct,0.04180647709816457
price_vs_ema21_pct,0.0400986154417965
high_52w,0.039784891209782874
adx_14,0.03963944640326748
return_20d,0.03863860670056619
dist_from_52w_low,0.03659209581178438
ema_50,0.036590304082430754
bb_lower,0.03602540590708799
atr_14,0.03151382436311195
bb_middle,0.03120321982003819
bb_upper,0.031003866190779317
ema_21,0.030844759013796248
ema_9,0.02912685338013009
ema9_vs_ema21_pct,0.027447140553996285
position_in_52w,0.02650154593887477
dist_from_52w_high,0.02613294019087551
macd_histogram,0.024687939803082544
macd_signal,0.0240630289577394
bb_width,0.02225488980286055
roc_10,0.021635512191025552
macd_line,0.021504379723773104
return_10d,0.021080974805966688
return_5d,0.020081786761786142
rsi_14,0.019838153029542373
bb_pct,0.019371436342029428
volume_ratio,0.017917591026769753
hl_range_pct,0.016912523951064535
stoch_d,0.01566769124861297
stoch_k,0.013994834433616045
adx_slope,0.01335820980718928
adx_above_25,0.01059225667932554
return_1d,0.010085356382560714
body_pct,0.005482906948664337
macd_above_signal,0.0034231831406090056
rsi_above_50,0.002058246854536582
ema_21_above_50,0.0018279102792026778
ema_9_above_21,0.0017123515913561999
bb_squeeze,0.0014498625459734027
obv_above_ema,0.0010285936160248923
stoch_above_50,0.0007951922418702223
rsi_oversold,0.0005847491774587912
volume_spike,0.00034964689514952927
rsi_overbought,0.0002334874893804178
ema_cross_up,9.536417486837596e-06
