ticker,entry_date,exit_date,entry_price,exit_price,shares,position_size,signal_score,atr_stop,gross_pnl,net_pnl,return_pct,hold_days,exit_reason
CRISIL,2024-11-14,2024-12-13,5168.58,5718.34,46,237992.43,0.5328,4893.7,25288.96,24525.12,10.3,29,target_hit
MOTHERSON,2024-12-06,2024-12-13,112.63,108.28,2244,252994.46,0.5744,108.28,-9761.4,-10500.1,-4.15,7,stop_loss
NATIONALUM,2024-12-16,2024-12-17,213.22,207.31,1169,249503.43,0.5799,202.33,-6908.79,-7642.73,-3.06,1,ema_reversal
GALLANTT,2024-12-16,2024-12-16,356.97,336.12,698,249414.23,0.649,336.12,-14553.3,-15271.69,-6.12,0,stop_loss
CROMPTON,2024-11-21,2024-12-20,385.57,391.51,616,237748.63,0.5186,365.27,3659.04,2939.19,1.24,29,ema_reversal
BHEL,2024-11-25,2024-12-20,241.39,241.74,995,240423.23,0.5636,226.86,348.25,-373.0,-0.16,25,ema_reversal
INDUSTOWER,2024-12-16,2024-12-19,351.0,337.66,711,249810.56,0.5567,337.66,-9484.74,-10214.45,-4.09,3,stop_loss
ZEEL,2024-12-17,2024-12-19,133.4,128.04,1854,247570.92,0.5876,128.04,-9937.44,-10659.54,-4.31,2,stop_loss
ANGELONE,2024-12-17,2024-12-19,315.46,299.34,783,247252.19,0.6063,299.34,-12621.96,-13337.73,-5.39,2,stop_loss
AVALON,2024-12-05,2024-12-20,873.8,1033.03,289,252780.73,0.6752,810.11,46017.47,45167.85,17.87,15,target_hit
ANGELONE,2024-12-20,2024-12-20,298.29,282.74,822,245439.57,0.5711,282.74,-12782.1,-13492.12,-5.5,0,stop_loss
KIRLPNU,2024-12-20,2024-12-23,1631.08,1583.7,150,244906.66,0.5493,1551.92,-7107.0,-7826.77,-3.2,3,ema_reversal
VEDL,2024-12-20,2024-12-23,458.98,442.84,534,245340.42,0.587,442.84,-8618.76,-9336.81,-3.81,3,stop_loss
LTIM,2024-12-23,2024-12-24,5802.43,5689.99,41,238137.53,0.505,5544.86,-4610.04,-5314.52,-2.23,1,ema_reversal
SIEMENS,2024-12-23,2024-12-24,4012.71,3983.44,59,236986.64,0.5301,3797.83,-1726.93,-2433.73,-1.03,1,ema_reversal
VEDL,2024-12-24,2024-12-30,442.16,428.35,541,239447.77,0.5474,425.52,-7471.21,-8173.89,-3.41,6,ema_reversal
SIEMENS,2024-12-24,2024-12-30,3983.44,3810.41,60,239245.41,0.5323,3810.41,-10381.8,-11078.06,-4.63,6,stop_loss
NATIONALUM,2024-12-23,2025-01-03,204.77,203.87,1175,240845.35,0.597,192.11,-1057.5,-1777.2,-0.74,11,sector_rotation
AFFLE,2024-12-24,2025-01-06,1797.0,1711.83,133,239240.0,0.5849,1711.83,-11327.61,-12021.96,-5.03,13,stop_loss
MOTHERSON,2025-01-03,2025-01-06,106.68,103.02,2311,246784.02,0.5441,103.02,-8458.26,-9180.96,-3.72,3,stop_loss
AFFLE,2025-01-07,2025-01-09,1713.95,1683.25,140,240192.95,0.5087,1619.91,-4298.0,-5009.26,-2.09,2,ema_reversal
GOKEX,2024-12-30,2025-01-10,1092.0,1036.5,217,237200.96,0.61,1036.5,-12043.5,-12730.3,-5.37,11,stop_loss
FEDERALBNK,2024-12-31,2025-01-10,195.32,188.02,1225,239506.27,0.5444,188.02,-8942.5,-9642.42,-4.03,10,stop_loss
AVALON,2025-01-07,2025-01-14,930.75,863.0,257,239441.95,0.6166,845.93,-17411.75,-18094.53,-7.56,7,ema_reversal
FORTIS,2024-12-20,2025-01-15,680.99,665.21,360,245401.56,0.5433,653.81,-5680.8,-6404.91,-2.61,26,ema_reversal
POLYCAB,2025-01-13,2025-01-21,6415.15,6782.05,35,224754.78,0.5043,6106.72,12841.5,12142.23,5.4,8,sector_rotation
CHALET,2025-01-13,2025-01-20,864.04,802.64,266,230064.47,0.5363,802.64,-16332.4,-16989.24,-7.38,7,stop_loss
INDHOTEL,2025-01-14,2025-01-20,758.32,828.97,295,223928.1,0.528,723.0,20841.75,20128.95,8.99,6,target_hit
NATIONALUM,2025-01-21,2025-01-22,198.65,187.68,1172,233050.62,0.5674,187.68,-12856.84,-13529.58,-5.81,1,stop_loss
AVALON,2025-01-21,2025-01-22,835.4,758.51,278,232473.44,0.5992,758.51,-21375.42,-22029.39,-9.48,1,stop_loss
